center,left,right,steering,throttle,brake,speed
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_306.jpg,,,0,0,0,1.300751E-05
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_399.jpg,,,0,0,0,1.782875E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_473.jpg,,,0,0,0,3.764675E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_548.jpg,,,0,0,0,3.005521E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_644.jpg,,,0,0,0,1.446084E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_707.jpg,,,0,0,0,6.954173E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_798.jpg,,,0,0,0,2.029658E-05
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_866.jpg,,,0,0,0,1.158615E-05
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_29_937.jpg,,,0,0,0,1.706354E-05
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_027.jpg,,,-0.03333334,0,0,1.520347E-05
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_090.jpg,,,-0.1,0,0,4.936227E-06
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_164.jpg,,,-0.1333333,0.1049373,0,0.08754984
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_244.jpg,,,-0.1666667,0,0,0.1045238
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_326.jpg,,,-0.1666667,0,0,0.1036894
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_407.jpg,,,-0.1666667,0,0,0.1028637
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_484.jpg,,,-0.2,0,0,0.1018573
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_553.jpg,,,-0.2,0.1865609,0,0.218092
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_626.jpg,,,-0.2,0,0,0.2425687
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_708.jpg,,,-0.2,0,0,0.2403711
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_779.jpg,,,-0.2,0,0,0.2381408
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_849.jpg,,,-0.2,0.1878297,0,0.3143373
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_30_939.jpg,,,-0.2,0.1661904,0,0.6072541
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_009.jpg,,,-0.2,0,0,0.6287832
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_083.jpg,,,-0.2,0.06748223,0,0.6431702
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_169.jpg,,,0,0.3202772,0,0.8298278
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_241.jpg,,,0,0.534909,0,1.243083
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_307.jpg,,,0,0.7165833,0,1.704666
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_387.jpg,,,0,0.5288122,0,2.317084
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_458.jpg,,,0,0.2912364,0,2.64393
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_545.jpg,,,-0.2666667,0.03300548,0,2.735938
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_612.jpg,,,-0.2666667,0.2030754,0,2.827621
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_682.jpg,,,-0.2666667,0.4454362,0,3.15865
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_754.jpg,,,-0.2666667,0.6278665,0,3.578635
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_835.jpg,,,-0.2666667,0.9031734,0,4.294124
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_907.jpg,,,-0.2666667,1,0,5.204525
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_31_999.jpg,,,-0.2666667,1,0,6.35643
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_076.jpg,,,-0.2666667,1,0,7.042211
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_143.jpg,,,-0.2666667,1,0,7.950363
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_227.jpg,,,-0.2666667,0.787966,0,8.735597
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_296.jpg,,,-0.2666667,0.6351702,0,9.17979
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_365.jpg,,,-0.2666667,0.3899469,0,9.56741
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_434.jpg,,,-0.2666667,0.437927,0,9.771479
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_502.jpg,,,-0.2666667,0.6428299,0,10.21742
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_572.jpg,,,-0.2666667,0.8087957,0,10.70488
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_642.jpg,,,-0.2666667,1,0,11.64093
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_714.jpg,,,-0.2666667,1,0,11.95953
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_795.jpg,,,-0.2666667,1,0,13.07518
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_865.jpg,,,-0.2666667,1,0,13.88364
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_32_963.jpg,,,-0.2666667,0.7295918,0,14.82208
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_33_033.jpg,,,-0.2666667,0.5492558,0,15.05733
/home/behrooz/robotic/Udacity_SDCND/Behavioral_Cloning/IMG/center_2017_01_16_22_50_33_112.jpg,,,0,0.283057,0,15.30752
